step temp tot_eng vol density press nO
19400 304.647927778944 4.38571006605066 12895.8536143466 1.99601155757195 2506.55967925601 60
19500 300.396868015251 3.92026419228383 12895.8536143466 1.99833131660245 1952.97233908788 61
19600 304.72609096093 3.45309115769135 12895.8536143466 2.00065107563296 2374.2399832313 62
19700 303.559591087502 2.82337920896158 12895.8536143466 2.00065107563296 2147.60036005093 62
19800 301.693743703907 2.66292314462198 12895.8536143466 2.00065107563296 2138.95519579113 62
19900 304.264362632396 2.84457090888363 12895.8536143466 2.00065107563296 2496.74598938222 62
20000 300.299968690381 2.94210835894861 12895.8536143466 2.00065107563296 2313.13254274716 62
20100 306.503372853064 3.20771386687839 12895.8536143466 2.00065107563296 2408.56223825978 62
20200 303.595439388715 3.01751533016474 12895.8536143466 2.00065107563296 2642.18640358478 62
20300 296.925214508099 2.22401567212389 12895.8536143466 2.00065107563296 2445.62091001274 62
20400 302.910478484807 2.1556562349041 12895.8536143466 2.00065107563296 2225.39665861128 62
20500 305.09272513763 2.62147737555271 12895.8536143466 2.00065107563296 2499.97299568577 62
20600 307.878498319905 2.70778211423391 12895.8536143466 2.00065107563296 2644.04965149112 62
20700 302.013394293611 2.83663630682558 12895.8536143466 2.00065107563296 2764.48415446045 62
20800 307.144985484413 3.21909822745943 12895.8536143466 2.00065107563296 2289.11565979533 62
20900 300.337783504512 3.40258939092634 12895.8536143466 2.00065107563296 2333.02950891905 62
21000 304.276201321432 3.66238159638382 12895.8536143466 2.00065107563296 2231.2944574393 62
21100 303.8420968058 3.89687767407651 12895.8536143466 2.00065107563296 2433.80108394613 62
21200 308.230871439606 4.24520082257217 12895.8536143466 2.00065107563296 2607.87425770086 62
21300 305.201343548567 3.42005977195981 12895.8536143466 2.00065107563296 2534.24455278718 62
21400 308.942334862432 2.77082842501399 12895.8536143466 2.00065107563296 2275.89800573945 62
21500 300.294685672993 2.22613490045072 12895.8536143466 2.00065107563296 2104.15132791369 62
21600 303.921590737289 2.03305673250445 12895.8536143466 2.00065107563296 2328.77285749653 62
21700 301.59976152333 2.25835410916407 12895.8536143466 2.00065107563296 2210.30748636929 62
21800 305.614203951217 3.21497665687821 12895.8536143466 2.00065107563296 2042.01153267322 62
21900 305.558926794815 3.45711938937841 12895.8536143466 2.00065107563296 2441.17492817669 62
22000 305.401510083466 3.39027686172506 12895.8536143466 2.00065107563296 2069.61266258768 62
22100 304.286872124373 2.73404177608689 12895.8536143466 2.00065107563296 2830.73600350481 62
22200 303.651281323482 2.23317620151475 12895.8536143466 2.00297083466346 2238.08313831327 63
22300 303.130095785248 2.29156896819137 12895.8536143466 2.00297083466346 2244.24704794574 63
22400 305.79067637035 2.50486276977298 12895.8536143466 2.00297083466346 2000.58963115569 63
22500 304.593073316221 2.68122393300489 12895.8536143466 2.00297083466346 2719.74841137826 63
22600 301.767591888698 2.60968552404051 12895.8536143466 2.00297083466346 2419.6948080695 63
22700 297.045919726299 2.41715545768071 12895.8536143466 2.00297083466346 2392.75860646463 63
22800 307.936021078284 2.62527527471241 12895.8536143466 2.00297083466346 2312.2130073558 63
22900 301.826806112086 2.67706229744744 12895.8536143466 2.00297083466346 2611.42659848556 63
23000 299.647991660016 2.90902578897749 12895.8536143466 2.00297083466346 2810.06822718263 63
23100 304.399256664729 3.34292140193795 12895.8536143466 2.00297083466346 2156.58780286445 63
23200 303.431935126485 3.34086112459182 12895.8536143466 2.00297083466346 2202.50408346408 63
23300 302.308511060408 2.75608212522749 12895.8536143466 2.00297083466346 2259.86444711135 63
23400 304.408898635751 2.24678790550247 12895.8536143466 2.00297083466346 2394.35336433446 63
23500 295.242838970911 1.85805441238859 12895.8536143466 2.00297083466346 2657.50569955678 63
23600 303.045400720807 1.89149114929383 12895.8536143466 2.00297083466346 2356.99808737649 63
23700 306.583747420683 2.89449554179834 12895.8536143466 2.00297083466346 2660.60824639137 63
23800 306.572854351513 2.82761665322258 12895.8536143466 2.00297083466346 2048.24189160664 63
